"Story","Title","Result","Date","Stability","Duration (s)"
"Manter Produtos","Alterar Produto","SUCCESS","2023-10-17T16:23:08.6704668-03:00[America/Sao_Paulo]","0.0","0.14"
"Manter Produtos","Pesquisar produto por ID","SUCCESS","2023-10-17T16:23:08.8591096-03:00[America/Sao_Paulo]","0.0","0.1"
"Manter Produtos","Excluir produto por ID (Cenário com falha)","FAILURE","2023-10-17T16:23:08.9845411-03:00[America/Sao_Paulo]","0.0","0.21"
"Manter Produtos","Listar Todos os Produtos","SUCCESS","2023-10-17T16:23:09.3206735-03:00[America/Sao_Paulo]","0.0","0.1"
